boro_cd,shape_area,shape_leng,pct_recyc_2018,pct_recyc_2009,pct_change,crime_count,crime_per_1000,fp_100_mhhi,fp_100_rent_burden,mean_commute,neighborhoods,over65_rate,pct_foreign_born,poverty_rate,under18_rate,unemployment_cd,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,BOROUGH_ID,year,total_recycled,percent_recycled
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4883.7,660.3,401.9,,3,2013,1062.2,0.217499027
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4835.8,566.6,416.9,,3,2015,983.5,0.203378965
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,5467.5,684.1,533,,3,2016,1217.1,0.22260631
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4354.9,685,524.9,,3,2016,1209.9,0.277824979
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4944.9,649.5,523.7,183.3,3,2017,1173.2,0.237254545
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4616.3,672,517.7,122,3,2017,1189.7,0.257717219
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4560.7,690,469.8,,3,2014,1159.8,0.254303068
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4714,758.2,422.1,,3,2013,1180.3,0.250381841
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,5286.1,771.7,436.8,,3,2009,1208.5,0.228618452
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4668.8,599.5,387.9,,3,2014,987.4,0.211489034
