year,boro_cd,total_recycled,total_refuse,pct_recycled_annum,pct_recycled_2009,pct_change,pct_point_change,fp_100_mhhi,pct_black_nh,pct_foreign_born,pct_hispanic,pct_white_nh,poverty_rate,unemployment_cd
2018-01-01,305,7750.200000000001,54844.7,14.131174024108075,13.541694188517445,4.353073015712283,0.5894798355906303,20000.0,52.1,35.6,37.1,3.8,28.7,5.1
2019-01-01,305,6779.0,47307.1,14.329772909351874,13.541694188517445,5.819646418412505,0.7880787208344291,20000.0,52.1,35.6,37.1,3.8,28.7,5.1
2009-01-01,306,11692.8,27116.100000000002,43.12124531182581,43.12124531182581,0.0,0.0,37000.0,6.7,16.5,17.3,64.6,9.6,4.0
2010-01-01,306,11306.800000000001,26798.800000000003,42.19144140782423,43.12124531182581,-2.1562547585948,-0.9298039040015809,37000.0,6.7,16.5,17.3,64.6,9.6,4.0
2011-01-01,306,11476.900000000003,28178.199999999993,40.72971304057749,43.12124531182581,-5.546064947694019,-2.391532271248323,37000.0,6.7,16.5,17.3,64.6,9.6,4.0
2012-01-01,306,10763.5,27502.4,39.13658444353947,43.12124531182581,-9.240597852570753,-3.9846608682863405,37000.0,6.7,16.5,17.3,64.6,9.6,4.0
2013-01-01,306,10913.499999999998,27316.199999999997,39.952482409705596,43.12124531182581,-7.348495803415944,-3.168762902120214,37000.0,6.7,16.5,17.3,64.6,9.6,4.0
2014-01-01,306,11308.400000000001,26641.299999999996,42.4468775923097,43.12124531182581,-1.563887393880925,-0.6743677195161126,37000.0,6.7,16.5,17.3,64.6,9.6,4.0
2015-01-01,306,11568.199999999999,25675.799999999996,45.05487657638711,43.12124531182581,4.484173058033214,1.9336312645612992,37000.0,6.7,16.5,17.3,64.6,9.6,4.0
2016-01-01,306,11843.199999999999,24085.7,49.171084917606706,43.12124531182581,14.029835089483722,6.049839605780896,37000.0,6.7,16.5,17.3,64.6,9.6,4.0
2017-01-01,306,11960.299999999997,24476.000000000004,48.86541918614151,43.12124531182581,13.320983271186716,5.744173874315699,37000.0,6.7,16.5,17.3,64.6,9.6,4.0
2018-01-01,306,12069.800000000001,25519.2,47.29693720806295,43.12124531182581,9.683606922854748,4.17569189623714,37000.0,6.7,16.5,17.3,64.6,9.6,4.0
2019-01-01,306,9964.9,21726.1,45.86603209964053,43.12124531182581,6.365277180578022,2.744786787814718,37000.0,6.7,16.5,17.3,64.6,9.6,4.0
2009-01-01,307,9359.7,39875.4,23.472366421402672,23.472366421402672,0.0,0.0,25000.0,2.5,47.2,41.1,22.6,27.9,4.5
2010-01-01,307,8882.3,39380.6,22.55501439795229,23.472366421402672,-3.908221297252401,-0.9173520234503805,25000.0,2.5,47.2,41.1,22.6,27.9,4.5
