year,boro_cd,total_recycled,total_refuse,total_waste,pct_recycled_annum,pct_recycled_2009,pct_change,pct_point_change,poverty_rate
2017-01-01,316,3047.4999999999995,24799.7,27847.2,10.943649630842597,9.67777261690325,13.080251665846742,1.2658770139393472,29.4
2018-01-01,316,3175.5,25749.100000000006,28924.600000000006,10.978544214958891,9.67777261690325,13.440815873103972,1.3007715980556416,29.4
2019-01-01,316,2755.5,21700.4,24455.9,11.26721977109818,9.67777261690325,16.423687733877877,1.5894471541949304,29.4
2009-01-01,317,8410.3,53240.8,61651.100000000006,13.641767948990363,13.641767948990363,0.0,0.0,19.5
2010-01-01,317,7916.3,51692.7,59609.0,13.28037712425976,13.641767948990363,-2.649149480345403,-0.3613908247306039,19.5
2011-01-01,317,7965.4,53747.799999999996,61713.2,12.90712521794365,13.641767948990363,-5.385245767218061,-0.7346427310467138,19.5
2012-01-01,317,7680.0999999999985,51370.60000000001,59050.70000000001,13.005942351233765,13.641767948990363,-4.660873870117809,-0.6358255977565985,19.5
2013-01-01,317,7784.400000000001,51345.200000000004,59129.600000000006,13.1649799761879,13.641767948990363,-3.4950599847855646,-0.4767879728024642,19.5
2014-01-01,317,7939.7,51300.8,59240.5,13.402486474624622,13.641767948990363,-1.7540356591643325,-0.23928147436574143,19.5
2015-01-01,317,8162.5,51405.30000000001,59567.80000000001,13.702873028716855,13.641767948990363,0.44792639747999186,0.061105079726491596,19.5
2016-01-01,317,8474.7,51703.100000000006,60177.8,14.082768063970436,13.641767948990363,3.2327196638226807,0.4410001149800724,19.5
2017-01-01,317,8598.7,51701.8,60300.5,14.25974908997438,13.641767948990363,4.530066361594676,0.6179811409840159,19.5
2018-01-01,317,8902.0,52692.799999999996,61594.799999999996,14.452518719112653,13.641767948990363,5.943150280475873,0.81075077012229,19.5
2019-01-01,317,7562.399999999999,44802.6,52365.0,14.441707247207102,13.641767948990363,5.863897562309317,0.7999392982167386,19.5
2009-01-01,318,13910.4,64147.399999999994,78057.79999999999,17.820640602220408,17.820640602220408,0.0,0.0,14.6
2010-01-01,318,13218.5,62408.9,75627.4,17.478453576349313,17.820640602220408,-1.920172419775179,-0.3421870258710946,14.6
2011-01-01,318,13381.800000000001,66500.8,79882.6,16.751833315390336,17.820640602220408,-5.9975806183808045,-1.0688072868300722,14.6
2012-01-01,318,12620.699999999999,68145.7,80766.4,15.626176231700311,17.820640602220408,-12.314172197865158,-2.1944643705200964,14.6
2013-01-01,318,12629.800000000001,65608.79999999999,78238.59999999999,16.14267126456762,17.820640602220408,-9.415875529433638,-1.6779693376527867,14.6
2014-01-01,318,12722.999999999998,64124.99999999999,76847.99999999999,16.556058713304186,17.820640602220408,-7.096164033287655,-1.2645818889162221,14.6
2015-01-01,318,13002.999999999998,63896.2,76899.2,16.909148599725356,17.820640602220408,-5.114810532576941,-0.9114920024950521,14.6
2016-01-01,318,13774.2,64761.600000000006,78535.8,17.538753027281825,17.820640602220408,-1.5818038264205914,-0.2818875749385832,14.6
2017-01-01,318,13851.099999999999,65058.8,78909.9,17.553057347683875,17.820640602220408,-1.5015355536836972,-0.2675832545365324,14.6
2018-01-01,318,13957.399999999998,66402.69999999998,80360.09999999998,17.368569725522992,17.820640602220408,-2.536782413091754,-0.45207087669741597,14.6
2019-01-01,318,11688.600000000002,56379.0,68067.6,17.172046612485236,17.820640602220408,-3.639566075163192,-0.648593989735172,14.6
2009-01-01,401,12804.7,52505.00000000001,65309.70000000001,19.606122827083876,19.606122827083876,0.0,0.0,18.1
2010-01-01,401,12111.399999999998,48736.69999999999,60848.09999999999,19.904319115962537,19.606122827083876,1.5209345137159547,0.29819628887866045,18.1
2011-01-01,401,12537.5,51120.100000000006,63657.600000000006,19.69521314030061,19.606122827083876,0.4544004646021227,0.08909031321673311,18.1
2012-01-01,401,11869.1,49185.3,61054.4,19.44020414581095,19.606122827083876,-0.8462595217639257,-0.16591868127292742,18.1
2013-01-01,401,12147.199999999999,49041.600000000006,61188.8,19.851999058651256,19.606122827083876,1.254078808624648,0.24587623156737948,18.1
2014-01-01,401,12936.5,49191.700000000004,62128.200000000004,20.822267504933343,19.606122827083876,6.202882071969307,1.2161446778494671,18.1
2015-01-01,401,13165.2,47902.299999999996,61067.5,21.558439431776314,19.606122827083876,9.95768832986963,1.952316604692438,18.1
2016-01-01,401,13857.000000000002,46982.299999999996,60839.299999999996,22.776396178128287,19.606122827083876,16.169812762087776,3.170273351044411,18.1
2017-01-01,401,13959.500000000002,46173.0,60132.5,23.214567829376794,19.606122827083876,18.404684261735916,3.6084450022929175,18.1
2018-01-01,401,14473.900000000001,47050.9,61524.8,23.525310118846384,19.606122827083876,19.989608992699704,3.9191872917625084,18.1
2019-01-01,401,12437.400000000001,40075.7,52513.1,23.68437589858531,19.606122827083876,20.800915650022045,4.0782530715014325,18.1
2009-01-01,402,7828.400000000001,32472.699999999993,40301.09999999999,19.42477996878498,19.42477996878498,0.0,0.0,18.8
2010-01-01,402,7486.299999999999,32001.299999999996,39487.59999999999,18.958609791428195,19.42477996878498,-2.3998736567719448,-0.46617017735678346,18.8
2011-01-01,402,7740.600000000001,33491.100000000006,41231.700000000004,18.77341948064232,19.42477996878498,-3.3532451291050536,-0.6513604881426573,18.8
2012-01-01,402,7603.6,32838.7,40442.299999999996,18.801106761979415,19.42477996878498,-3.2107092477123844,-0.623673206805563,18.8
2013-01-01,402,7708.4,32943.1,40651.5,18.962153918059606,19.42477996878498,-2.3816282679587575,-0.46262605072537255,18.8
2014-01-01,402,8277.900000000001,33893.0,42170.9,19.629412699278415,19.42477996878498,1.0534622828277884,0.20463273049343655,18.8
2015-01-01,402,8640.5,34207.399999999994,42847.899999999994,20.165515696218485,19.42477996878498,3.813354532838198,0.7407357274335062,18.8
2016-01-01,402,9178.999999999998,34754.399999999994,43933.399999999994,20.892988022779935,19.42477996878498,7.558428236275128,1.4682080539949567,18.8
2017-01-01,402,9392.8,34973.600000000006,44366.40000000001,21.170976234267368,19.42477996878498,8.989529190490053,1.7461962654823893,18.8
2018-01-01,402,9787.4,35666.0,45453.4,21.5328226271302,19.42477996878498,10.852337384170019,2.108042658345223,18.8
2019-01-01,402,8255.7,30186.600000000002,38442.3,21.47556207615049,19.42477996878498,10.557556433900682,2.05078210736551,18.8
2009-01-01,403,9379.6,57123.6,66503.2,14.103982966233206,14.103982966233206,0.0,0.0,24.0
2010-01-01,403,8882.6,55768.9,64651.5,13.739201719991028,14.103982966233206,-2.586370439580876,-0.36478124624217756,24.0
2011-01-01,403,9124.199999999999,58550.399999999994,67674.59999999999,13.482458706811714,14.103982966233206,-4.406728658915016,-0.6215242594214914,24.0
2012-01-01,403,8696.0,56707.3,65403.3,13.295965188300896,14.103982966233206,-5.729004210135614,-0.8080177779323101,24.0
2013-01-01,403,8750.4,55964.2,64714.6,13.521523736529314,14.103982966233206,-4.129749951473816,-0.5824592297038915,24.0
2014-01-01,403,8912.5,56719.600000000006,65632.1,13.579483210197449,14.103982966233206,-3.7188059379501426,-0.5244997560357572,24.0
2015-01-01,403,9269.7,57016.100000000006,66285.8,13.984443123564926,14.103982966233206,-0.847560883719678,-0.11953984266827966,24.0
2016-01-01,403,9903.0,57855.0,67758.0,14.615248383954663,14.103982966233206,3.6249718887600313,0.5112654177214573,24.0
2017-01-01,403,10042.099999999999,57658.0,67700.1,14.833212949463881,14.103982966233206,5.1703833234664875,0.7292299832306757,24.0
2018-01-01,403,10115.9,58404.000000000015,68519.90000000001,14.763448282907591,14.103982966233206,4.675738181570632,0.6594653166743853,24.0
